Element,Z,phi_n(Z)
He,2,0.4204482076268573
Ne,10,0.056234132519034905
Ar,18,0.026971765094851306
Kr,36,0.011340230290662862
Xe,54,0.006831369874693343
Rn,86,0.003818360563599306
Og,118,0.0025712688638263323
